,Station,Roadway Name,Station Start,Station End
1551,13059,I95 Exit 5B Oms,I95 NB (OFF),IN95 SERVICE RD EB
1552,13060,I95 Exit 5B Oms,I95 SB (OFF),IN95 SERVICE RD WB
127,13061,I95 Exit 6 295I,I678 NB (OFF),DIVERGE TO I278 WB&I95 NB
365,13062,I95 Exit 6 295I,DIVERGE TO I278 WB&I95 NB,I95 NB (ON)
485,13063,I95 Exit 6 295I,I95 SB (OFF),I678 SB (ON)
643,13064,I95 Exit 6 295I,MRG WTH I678 NB OFF TO I278,I278 WB (ON)
752,13065,I95 Exit 6 295I,BRUCKNER BLVD,I678 NB (OFF)
872,13066,I95 Exit 6 295I,I678 NB (OFF),BRUCKNER BLVD (ON)
992,13067,I95 Exit 6 295I,BRUCKNER BLVD,I678 NB (ON)
1128,13068,I95 Exit 6 295I,908A SB (OFF),BRUCKNER BLVD
1236,13069,I95 Exit 6 295I,I278 EB (OFF),DIVERGE TO BRUCKNER&I295 SB
1553,13070,I95 Exit 7 Bruc,I95 NB (OFF),COUNTRY CLUB RD
1554,13071,I95 Exit 7 Bruc,I95 SB (OFF),BRUCKNER BLVD
1555,13072,I95 Exit 8B 907,I95 NB (OFF),SHORE RD
1556,13073,I95 Exit 8B 907,I95 SB (OFF),WESTCHESTER AVE
1557,13074,I95 Exit 8C 907,I95 NB (OFF),907F WB (ON)
1558,13075,I95 Exit 8C 907,SHORE RD,I95 NB (ON)
1559,13076,I95 Exit 8C 907,907F EB (OFF),I95 NB (ON)
1560,13077,I95 Exit 8C 907,I95 SB (OFF),907F WB (ON)
1561,13078,I95 Exit 8C 907,907F WB (OFF),I95 SB (ON)
1562,13079,I95 Exit 8C 907,I95 SB (OFF),907F EB (ON)
1563,13080,I95 Exit 9 and,I95 NB (OFF),DIVERGE TO PALMER AVE
1564,13081,I95 Exit 9 and,DIVERGE TO PALMER AVE,908A NB (ON)
1565,13082,I95 Exit 9 and,MERGE 908A SB OFF&E GUNHILL,I95 SB (ON)
1566,13083,I95 Exit 9 and,908A SB (OFF),MERGE WITH E GUNHILL RD OFF
1567,13084,I95 Exit 9 and,STILLWELL AVE,908A SB (ON)
1568,13085,I95 Exit 9 and,Ramp Begins,Ramp Ends
1569,13086,I95 Exit 9 and,I95 SB (OFF),908A NB (ON)
1570,13087,I95 Exit 9 and,ERSKINE PL,I95 SB (ON)
1571,13088,I95 Exit 11 Bay,I95 NB (OFF),BAYCHESTER AVE
1572,13089,I95 Exit 11 Bay,EDSON AVE,I95 SB (ON)
1573,13090,I95 Exit 12 Eds,BAYCHESTER AVE,I95 NB (ON)
1574,13091,I95 Exit 12 Eds,I95 SB (OFF),EDSON AVE
1575,13092,I95 Exit 12 Eds,E 222ND ST,I95 SB (ON)
1576,13093,I95 Exit 13 Til,I95 NB (OFF),TILLSTON AVE
1577,13094,I95 Exit 13 Til,TILLSTON AVE,I95 NB (ON)
1578,13095,I95 Exit 13 Til,I95 SB (OFF),HOLLERS AVE
1579,13096,I95 Exit 14 908,908A NB (OFF),I95 NB (ON)
1580,13097,I95 Exit 14 908,I95 SB (OFF),908A SB (ON)
1581,13098,907V Exit 23 9A,907V EB (OFF),NY9A SB (ON)
2053,13099,907V Exit 23 9A,907V EB (OFF),NY9A NB (ON)
1582,13100,907V Exit 23 9A,NY9A NB (OFF),907V EB (ON)
1583,13101,907V Exit 23 9A,907V WB (OFF),NY9A NB (ON)
1584,13102,907V Exit 23 9A,NY9A NB (OFF),907V WB (ON)
1585,13103,907V Exit 23 9A,NY9A SB (OFF),907V WB (ON)
1586,13104,907V Exit 22 Mo,Ramp Begins,Ramp Ends
1587,13105,907V Exit 22 Mo,907V WB (OFF),MOSHOLU AVE
1588,13106,907V Exit 22 Mo,RIVERDALE AVE,907V WB (ON)
1589,13107,907V Exit 22 Mo,907V EB (OFF),W 253RD ST
1590,13108,907V Exit 22 Mo,W 253RD ST,907V EB (ON)
1591,13109,NY 9A Exit 18 2,NY9A NB (OFF),KAPPOCK ST
1592,13110,NY 9A Exit 18 2,KAPPOCK ST,NY9A NB (ON)
1593,13111,NY 9A Exit 18 2,NY9A SB (OFF),HARRY HUDSON PKWY W
1594,13112,NY9A Exit 19 at,NY9A NB (OFF),HENRY HUDSON PKWY E
1595,13113,NY9A Exit 19 at,HENRY HUDSON PKWY W,NY9A SB (ON)
1596,13114,NY9A Exit 19 at,HENRY HUDSON PKWY E,NY9A NB (ON)
1597,13115,NY9A Exit 19 at,NY9A SB (OFF),HENRY HUDSON PKWY W
1598,13116,NY9A Exit 20 Ne,NY9A NB (OFF),HENRY HUDSON PKWY E
1599,13117,NY9A Exit 20 Ne,HENRY HUDSON PKWY,NY9A NB (ON)
1600,13118,NY9A Exit 20 Ne,NY9A SB 9OFF),HENRY HUDSON PKWY W
1601,13119,NY9A Exit 20 Ne,HENRY HUDSON PKWY W,NY9A SB (ON)
1602,13120,NY9A Exit 21 W,NY9A NB (OFF),HENRY HUDSON PKWY E
1603,13121,NY9A Exit 21 W,HENRY HUDSON PKWY E,NY9A NB (ON)
1604,13122,NY9A Exit 21 W,Ramp NY9A SB (OFF)Begins,HENRY HUDSON PKWY W
487,13123,I278 Exit 49 Hu,HUNTS POINT AVE,I895 NB (ON)
623,13124,I278 Exit 49 Hu,BRUCKNER BLVD,I278 EB(ON)
1605,13125,I278 at Bronx R,I278 WB (OFF),BRUCKNER BLVD
1606,13126,I278 at Bronx R,I278 EB (OFF),BRUCKNER BLVD
