,Station,Roadway Name,Station Start,Station End
90,14150,HARDING AVE,DAVIS AVE,HOLLYWOOD AVE
1756,14151,HARDING AVE,PENNYFIELD AVE,LONGSTREET AVE
1757,14152,HEATH AVE,W 230TH ST,"FORT INDEPENDENCE ST
"
1758,14153,HOLLERS AVE,CONNER ST,IN 95
1759,14154,HOLLERS AVE,MC OWEN AVE,ROPES AVE
775,14155,HOLLYWOOD AVE,HARDING AVE,LAWTON AVE
895,14156,HUNTER AVE,EARHART LA,BOLLER AVE
1012,14157,HUTCHINSON RIVE,PALMER AVE,BARTOW AVE
1288,14159,THROGS NECK SR,PRENTISS AVE,MEAGHER AVE
1760,14160,IN 95 SR EB,HUGH GRANT CIR,BRUCKNER BLVD SW
1761,14161,IN95 SR W,ZEGRA AVE,WESTCHESTER AVE
290,14162,INTERVALE AVE,FREEMAN ST,LOUIS NINE BLVD
1762,14163,INWOOD AVE,W 170TH ST,MACOMBS RD
759,14165,IRWIN AVE,JOHNSON AVE,W 231ST ST
916,14166,JACKSON AVE,BRUCKNER BLVD,E 149TH ST
1763,14167,JEROME AVE,Major Deegan Sr (Off),Macombs Dam Bridge
1764,14168,KAPPOCK ST,PALISADE AVE,JOHNSON AVE
1765,14169,KATONAH AVE,E 233RD ST,VN CRTLNDT PK
1766,14170,KEARNEY AVE,RAWLINGS AVE,COUNTRY CLUB RD
237,14171,KENNELLWRTH PL,SPENCER DR,AMPERE AVE
424,14172,KINGSBRIDGE AVE,BRONX CO/L,W 238TH ST
1767,14173,KOSSUTH AVE,E 210TH ST,DEKALB AVE
1768,14174,LAFAYETTE AVE,CROSS BRONX EXT (EB),E TREMONT AVE
776,14175,LAFAYETTE AVE,THROGS NECK SR (NB),SHORE DR
1769,14176,LAWTON AVE,E TREMONT AVE,THRG NK EXP EXT
1054,14177,LEGGETT AVE,BRUCKNER BLVD,SOUTHERN BLVD
1770,14178,LIGHT ST,DYRE AVE,PROVOST AVE
1771,14179,LINCOLN AVE,BRUCKNER BLVD,THIRD AVE
5,14180,LOCUST AVE,E 132ND ST,E 138TH ST
1772,14181,LONGFELLOW AVE,WHITLOCK AVE,WESTCHESTER AV
1773,14183,LONGSTREET AVE,Harding Ave,CHAFFEE AVE
1774,14185,LYDIG AVE,WHITE PLAINS R,BOGART AVE
876,14186,MC OWEN AVE,HOLLERS AVE,BOSTON RD
1020,14187,METCALF AVE,SEWARD AVE,BRUCKNR BLV NE
1775,14189,METROPOLITN AV,UNIONPORT RD,CASTLE HILL AV
1776,14190,METROPOLITN AV,HUGH GRANT CIR,UNIONPORT RD
1777,14191,MIDDLETOWN RD,WESTCHESTER AV,BRUCKNER BLVD
551,14193,MORRISON AVE,WATSON AVE,WESTCHESTER AV
1778,14194,MOSHOLU AVE,H HUDSON PKY,BROADWAY
1779,14196,NELSON AVE,W 167TH ST,W 168TH ST
1013,14197,OAK POINT AVE,HUNTS POINT AVE,HALLECK ST
1780,14198,OLMSTEAD AVE,RANDALL AVE,SEWARD AVE
1781,14199,OTIS AVE,LOGAN AVE,LAYTON AVE
1782,14200,PALISADE AVE,H HUDSON PKY,KAPPOCK ST
238,14201,PALMER AVE,ERSKINE PL,HUTCHINSON RIVER PKWY E
1783,14202,PARK AVE,E135th St,Morris Ave
531,14203,PARK DR,CITY ISLAND RD CIR,PARK DR LOOP
1784,14204,PARK DR LOOP,PARK DR,PARK DR
790,14205,ORCHARD BEACH R,SHORE RD CIRCLE,PARK DR
1785,14208,PARKER ST,CASTLE HILL AVE,PURDY ST
1786,14209,PELHAM PKWY N,BRONX PARK E,US1 / BOSTON RD
1787,14210,PELHAM PKWY N,WILLIMSBRDG RD,EASTCHESTER RD
130,14211,PELHAM PKWY S,BOSTON RD,WILLIAMSBRIDGE RD
1788,14212,PELHAM PKWY S,WILLIAMSBRIDGE RD,EASTCHESTER RD
1789,14213,PELHAM PKWY S,EASTCHESTER RD,STILLWELL AVE
1790,14214,PHILIP AVE,CLARENCE AVE,DEAN AVE
1791,14215,PUGSLEY AVE,RANDALL AVE,BRUCKNER BLVD
889,14216,PURDY ST,PARKER ST,METROPOLITAN AVE
1792,14218,RADIO DR,LUCERNE ST,GRISWOLD AVE
1254,14219,RANDALL AVE,HUNTS POINT AVE,HALLECK ST
1793,14220,RANDALL AVE,METCALF AVE,SOUND VIEW AVE
1794,14221,RANDALL AVE,PUGSLEY AVE,OLMSTEAD AVE
371,14222,RANDALL AVE,BUTTRICK AVE,IN295
514,14223,RANDALL AVE,IN295,E TREMONT AVE
1795,14224,RAWLINGS AVE,KEARNEY AVE,STADIUM AVE
779,14225,REED PL,COUNTRY CLUB RD,SPENCER DR
1796,14226,REEDS MILL LA,NEW ENGLAND THRWY,BIVONIA ST
1797,14227,RESEARCH AVE,GRISWOLD AVE,AMPERE AVE
1798,14228,RESERVOIR AVE,W KINGSBRDG RD,GOULDEN AVE
1799,14229,RESERVOIR AVE,UNIVERSITY AVE,SEDGWICK AVE
1800,14230,ROPES AVE,HOLLERS AVE,BOSTON RD
131,14231,ROSEDALE AVE,LACOMBE AVE,RANDALL AVE
1801,14232,SAMPSON AVE,E TREMONT,CROSS BRONX EXPY
1802,14233,SCHIEFFELIN AVE,E 222ND ST,BAYCHESTER AVE
1803,14234,SCHIEFFELIN PL,E 225TH ST,E 229TH ST
1804,14235,SCHLEY AVE,ELLSWORTH AVE,SHORE DRIVE
891,14236,SCHURZ AVE,E TREMONT AVE,THROGS NECK BLVD
1138,14238,SEDGWICK AVE,OGDEN AVE,DR MARTIN L KING JR BLVD
1805,14239,SEDGWICK AVE,MLK JR BLVD,UNDERCLIFF AVE
8,14240,SEDGWICK AVE,W BURNSIDE AVE,W FORDHAM RD
1806,14241,SEDGWICK AVE,BAILEY AVE,W KINGSBRIDGE RD
1807,14242,SEDGWICK AVE,W KINGSBRIDGE RD,VAN CORTLAND AVE
491,14243,SEDGWICK AVE,VAN CORTLAND AVE,MOSHOLU PKWY S
630,14244,SETON AVE,E 233RD ST,BUSSING AVE
1808,14245,SEWARD AVE,METCALF AVE,SOUND VIEW AVE
809,14246,SEWARD AVE,PUGSLEY AVE,OLMSTEAD AVE
1809,14247,SHAKESPEARE AV,WOODYCREST AV,W 170TH ST
1238,14249,SOUND VIEW AVE,BRONX RIVER AVE,WHITE PLAINS RD
120,14250,SOUND VIEW AVE,ROSEDALE AVE,STORY AVE
244,14251,SPENCER DR,KENNELLWORTH PL,LUCERNE ST
319,14252,SPOFFORD AVE,HUNTS POINT AVE,HALLECK ST
1810,14253,STARLING AVE,UNIONPORT RD,CASTLE HILL AV
560,14254,STORY AVE,BRONX RIVER AVE,METCALF AVE
1811,14255,TELLER AVE,PARK AVE,E 165TH ST
917,14256,THIERIOT AVE,LAFAYETTE AVE,BRUCKNER BLVD
1056,14257,THROGS NECK BLV,SCHURZ AVE,THROGS NECK EXPY EXT
1150,14258,THROGS NECK EXP,SAMPSON AVE,THROGS NECK BLVD
1291,14259,THROGS NECK EXP,THROGS NECK BLVD,LAWTON AVE
1812,14260,THWAITES PL,BRONX PARK E,BOSTON RD
1813,14261,TIERNEY PL,LONGSTREET AVE,LOCUST PT DR
396,14262,TIFFANY ST,VIELE AVE,RANDALL AVE
555,14263,TILLOTSON AVE,BAYCHESTER AVE,REEDS MILL AVE
1814,14264,TILLOTSON AVE,CONNER ST,HOLLERS AVE
801,14265,TURNBULL AVE,WHITE PLAINS RD,PUGSLEY AVE
831,14266,UNIONPORT RD,WESTCHESTER AVE,METRO AVE EB
1815,14267,UNIONPORT RD,METRO AVE EB,E TREMONT AVE
1088,14268,UNIVERSITY AVE,W KINGSBRIDGE RD,RESERVOIR AVE
1816,14269,VALENTINE AVE,E KINGSBRDG RD,BEDFORD PK BLVD
1817,14270,VN CRTLNDT AV E,JEROME AVE,GRAND CONCOURSE
1818,14271,VN CRTLNDT AV E,GRAND CONCOURSE,MOSHOLU PKWY
403,14272,VAN CORTLANDT A,MOSHOLU PKWY S,BAINBRIDGE AVE
492,14273,VAN CORTLANDT A,SEDGWICK AVE,VAN CORTLANDT PARK S
675,14274,VIELE AVE,TIFFANY ST,HALLECK ST
802,14275,VYSE AVE,E 174TH ST,BOSTON RD
814,14276,W 167TH ST,OGDEN AVE,ANDERSON AVE
1057,14277,W 168TH ST,OGDEN AVE,WOODYCREST AVE
1819,14278,W 170TH ST,SHAKESPEARE AV,JEROME AVE
1820,14280,W 181ST ST,UNIVERSITY AVE,JEROME AVE
1821,14281,W 195TH ST,RESERVOIR AVE,JEROME AVE
1822,14282,W 239TH ST,INDEPENDNCE AV,H HUDSON PKY W
1823,14283,W BURNSIDE AVE,SEDGWICK AVE,UNIVERSITY AVE
1824,14284,W BURNSIDE AVE,UNIVERSITY AVE,JEROME AVE
1825,14285,W MSHOLU PKY N,JEROME AVE,W GUN HILL RD
1826,14286,W MSHOLU PKY S,JEROME AVE,SEDGWICK AVE
1058,14287,WALNUT AVE,E 132ND ST,E 134TH ST
1827,14288,ELTON AVE,E 161ST ST,E 163RD ST
1828,14289,WATERS PL,WESTCHESTER AV,EASTCHESTER AV
1829,14290,WENNER PL,BRUSH AVE,HRP SERVICE RD
158,14291,WHITE PLAINS RD,SOUNDVIEW AVE,SOUNDVIEW AVE
1830,14292,WHITE PLAINS RD,BRUCKNER BLVD NB,WESTCHESTER AVE
1831,14293,WHITE PLAINS RD,UNIONPORT RD,BRONXDALE AVE
1832,14294,WHITE PLAINS RD,BRONXDALE AVE,BOSTON RD
1833,14296,WHITTIER ST,VIELE AVE,EAST BAY AVE
1834,14297,WHITTIER ST,GARRISON AVE,BRUCKNER BLVD
1180,14298,LOUIS NINE BLVD,SOUTHERN BLVD,BOSTON RD
1835,14299,WILLIS AVE,E 138TH ST,E 148TH ST
1836,14300,WISSMAN AVE,THROGS NECK EXPY EXT,LONGSTREET AVE
1837,14301,WOOD MANSTN PL,BOGART AVE,PAULDING AVE
397,14302,ZEREGA AVE,LAFAYETTE AVE,BRUCKNER EXPY
760,14305,LACONIA AVE,BOSTON RD,EASTCHESTER RD
1838,14306,PELHAM PKWY S,PELHAM PKY/CONTINENTAL,BURR AVE
1839,14307,EINSTEIN LOOP E,EINSTEIN LOOP S,EINSTEIN LOOP N
1840,14308,EINSTEIN LOOP N,HUTCH RIV PKWY E,EINSTEIN LOOP E
1841,14309,SAMPSON AVE,ADEE AVE,1ST AVE
1842,14310,MEAGHER AVE,THROGS NECK SR W,ADEE AVE
1843,14311,ADEE AVE,MEAGHER AVE,SAMPSON AVE
1844,14312,CHAFFEE AVE,LONGSTREET AVE,HATTING PL
521,14313,E 153RD ST,GRAND CONCOURSE,CONCOURSE VLG W
1845,14314,E 187TH ST,MARION AVE,WEBSTER AVE
1846,14315,E 187TH ST,GRD BLV/CONCRS,END
1847,15000,ALBANY CRES,BAILEY AVE,W 233RD ST
1848,15001,AMPERE AVE,MIDDLETOWN RD,KENNELLWRTH PL
1849,15002,BRONX BLVD,NEREID AVE,E 242ND ST
1850,15003,E 132ND ST,BROWN PL,BROOK AVE
1851,15005,E 156TH ST,ST ANNS AVE,BRUCKNER BLVD
1852,15006,E 174TH ST,ANTHONY AVE,WEBSTER AVE
1853,15007,E 182ND ST,WASHINGTON ST,THIRD AVE
1854,15008,E 184TH ST,PARK AVE W,THIRD AVE
1855,15009,E 208TH ST,BAINBRIDGE AVE,KOSSUTH AVE
1856,15010,GRISWOLD AVE,RESEARCH AVE,OUTLOOK AVE
2059,15011,LAFAYETTE AVE,EDGEWATER RD,DEAD END
1857,15012,LOCUST AVE,E 138TH ST,E 141ST ST
431,15013,MORRISON AVE,BRUCKNER BLVD,WATSON AVE
1858,15014,RESERVOIR AVE,GOULDEN AVE,UNIVERSITY AVE
1859,15015,TELLER AVE,E 165TH ST,MORRIS AVE
1860,15016,TIFFANY ST,FOX ST,INTERVALE AVE
1861,15017,W 170TH ST,UNIVERSITY AVE,SHAKESPEARE AV
1862,15018,W 179TH ST,OSBOURNE PL,UNIVERSITY AVE
1863,15019,E 152ND ST,JACKSON AVE,PROSPECT AVE
1864,15020,E 175TH ST,CROTONA AVE,BOSTON RD
1865,15021,E 234TH ST,BRONX BLVD,WHITE PLAINS R
1866,15024,GERANIUM PL,POPLAR AVE,PENNYFIELD AVE
1867,15025,HOLLY PL,ACORN PL,PLAZA PL
1868,15026,BALSAM PL,END,LINDEN AVE
1869,15027,MULLEN PL,PENNYFIELD AVE,END
1870,15028,BRINSMADE AV,SCHURZ AVE,SAMPSON AVE
1871,15030,WILCOX AV,END,WATERBURY AVE
1872,15034,YZNAGA PL,END,BRUSH AVE
1873,15035,BALCOM AV,BRUCKNER BLVD,EDWARDS AVE
1874,15036,B ST,END,BAISLEY AVE
1875,15037,HOBART AV,BAISLEY AVE,ZULETTE AVE
1876,15038,GEORGE ST,DUDLEY AVE,END
1877,15039,ROEBLING AV,HUTCHINSON RIVER PKWY,EDISON AVE
1878,15040,DWIGHT PL,MC DONOUGH PL,MIDDLETOWN RD
1879,15041,LIBRARY AV,GRISWOLD AVE,WATT AVE
1880,15042,OUTLOOK AVE,AMPERE AVE,CUL DE SAC
1881,15043,HOBART AVE,MIDDLETOWN RD,E 196TH ST
1882,15044,ERICSON PL,E TREMONT AVE,MIDDLETOWN RD
1883,15045,SCHUYLER PL,ARNOW PL,SANDS PL
2057,15046,TERRACE ST,MINNEFORD AVE,KING AVE
1884,15047,KING AV,DITMARS ST,BEACH ST
1885,15049,BAY ST,END,CITY ISLAND AVE
1886,15050,PELL PL,END,CITY ISLAND AVE
1887,15051,WILLIAM AV,END,CAROLL ST
1888,15052,WILLIAM AV,HAWKINS ST,FORDHAM ST
1889,15053,CLINTON PL,AQUEDUCT AVE E,JEROME AVE
1890,15054,NORTH ST,AQUEDUCT AVE E,JEROME AVE
1891,15055,LORING PL N,W 183RD ST,W FORDHAM RD
1892,15056,OSBORNE PL,W BURNSIDE AVE,W 180TH ST
1893,15057,BILLINGSLEY TER,PHELAN PL,PHELAN PL
1136,15058,MATTHEWSON RD,ROBERT CLEMENTE STATE PK BR,W TREMONT AVE
1894,15059,TOPPING AV,E MOUNT EDEN  AVE,E 174TH ST
1895,15060,SELWYN AV,E 172ND ST,E 174TH ST
1896,15061,ELM PL,E 188TH ST,E FORDHAM RD
1897,15062,RYER AV,"E 187TH ST
","E BURNSIDE AVE

"
1898,15063,LORILLARD PL,3RD AVE,E FORDHAM RD
1899,15064,ADAMS PL,E 182ND ST,CRESCENT AVE
1900,15065,BEAUMONT AV,GROTE ST,E 189TH ST
1901,15066,GROTE ST,E 182ND ST,CROTONA AVE
1902,15067,MAPES AV,E TREMONT AVE,E 182ND ST
1903,15068,HORNADAY PL,CROTONA PKWY,HONEYWELL AVE
1904,15069,CLARKE PL E,JEROME AVE,GRAND CONCOURSE
1905,15070,W 169 ST,EDWARD L GRANT HWY,JEROME AVE
1906,15071,CROTONA AV,BOSTON RD,CROTONA PARK S
1907,15072,CROTONA PL,ST PAULS PL,E 171ST ST
1908,15073,JEFFERSON PL,FRANKLIN AVE,BOSTON RD
1909,15074,JENNINGS ST,UNION AVE,W FARMS RD
1910,15075,BRISTOW ST,FREEMAN ST,BOSTON RD
1911,15076,HOME ST,INTERVALE AVE,WESTCHESTER AVE
1912,15077,E 171 ST,MORRIS AVE,TELLER AVE
1913,15078,COLLEGE AV,E 163RD ST,E 164TH ST
1914,15079,SHERIDAN AV,E 161ST ST,MOUNT EDEN PKWY
1915,15080,CARROLL PL,BARRIER,MC CLELLAN ST
1916,15081,IRVINE ST,SENECA AVE,GARRISON AVE
1917,15082,TIMPSON PL,E 144TH ST,BRUCKNER BLVD
500,15083,BRYANT AVE,END,BRUCKNER BLVD
1918,15084,KELLY ST,PROSPECT AVE,LONGWOOD AVE
1919,15085,ELDER AV,STORY AVE,BRUCKNER BLVD
1920,15086,WARD AV,BRUCKNER BLVD,E 172ND ST
2055,15087,NOBLE AVE,SEWARD AVE,SOUNDVIEW AVE
1921,15088,CLASON PT LA,LAFAYETTE AVE,NOBLE AVE
1922,15089,CROES PL,SEWARD AVE,CROES AVE
1923,15090,MANSION ST,NOBLE AVE,BEACH AVE
1924,15091,MEAD ST,WHITE PLAINS RD,GARFIELD ST
1925,15092,ST LAWRENCE AV,WATSON AVE,CROSS BX SERVICE RD S
1926,15093,BENEDICT AV,METROPOLITAN AVE,UNIONPORT RD
1927,15094,LELAND AV,BRUCKNER BLVD,CROSS BX SERVICE RD S
1928,15095,BOLTON AVE,CORNELL AVE,DEAD END
1929,15096,BOLTON AVE,SOUTH END,NORTH END
1930,15099,TURNHEUR AV,ZEREGA AVE,LACOMBE AVE
1931,15100,NORTON AVE,SCREVIN AVE,ZEREGA AVE
1932,15101,HAVILAND AV,CROSS BX SERVICE RD S,VIRGINIA AVE
1933,15102,GLEASON AVE,CROSS BX SERVICE RD,METCALF AVE
1934,15103,LYON AV,CASTLE HILL AVE,ZEREGA AVE
1935,15104,ROWLAND ST,WESTCHESTER AVE,ST RAYMONDS AVE
1936,15105,DORSEY ST,ZEREGA AVE,SEDDON ST
1937,15106,HUBBELL ST,DORSEY ST,MACLAY AVE
1938,15107,PONTON AVE,E TREMONT AVE,BLONDELL AVE
1939,15108,WATERS AV,WESTCHESTER AVE,FINK AVE
1940,15109,CHESBROUGH AV,WILLIAMSBRIDGE RD,BLONDELL AVE
1941,15110,SAGAMORE ST,WHITE PLAINS RD,HUNT AVE
1942,15111,CRUGER AV,BRONX PARK E,PELHAM PKWY S
1943,15112,HOLLAND AV,DEAD END,HUNT AVE
1944,15113,PINCHOT PL,NARRAGANSETT AVE,SEMINOLE AVE
1945,15114,PAWNEE PL,NARRAGANSETT AVE,SEMINOLE AVE
1946,15115,RHINELANDER AV,UNIONPORT RD,SEMINOLE AVE
1947,15117,PARK DR,PEACE ST,EDGEMERE ST
1948,15118,BUSSING PL,DE REIMER AVE,BUSSING AVE
1949,15120,MULVEY AVE,E 233RD ST,DEAD END
1950,15121,ELY AVE,ALLERTON AVE,BARTOW AVE
1951,15122,WICKHAM AVE,STILLWELL AVE,MACE AVE
1952,15123,WICKHAM AVE,E 222ND ST,BOSTON RD
1953,15124,GUNTHER AVE,GIVAN AVE,BOSTON RD
1954,15125,CRAWFORD AVE,BAYCHESTER AVE,BOLLER AVE
1955,15126,BOLLER AVE,BOSTON RD,CRAWFORD AVE
1956,15127,E 220TH ST,FENTON AVE,CARPENTER AVE
1957,15128,E 216TH ST,BRONX BLVD,NEEDHAM AVE
1958,15129,E 232ND ST,ELY AVE,CARPENTER AVE
1959,15130,DIGNEY AVE,E 233RD ST,BARNES AVE
1960,15131,CARPENTER AVE,E 219TH ST,BRONX CL
1961,15132,E 239TH ST,VAN CORTLANDT PARK E,VIREO AVE
1962,15133,E 238TH ST,VAN CORTLANDT PARK E,VIREO AVE
1963,15134,E 243RD ST,ROBERTSON ST,WHITE PLAINS RD
1964,15135,FENTON AVE,E GUN HILL RD,HAMMERSLEY AVE
1965,15136,FISH AVE,PELHAM PKWY N,DEWITT PL
1966,15137,PEARSALL AVE,E GUN HILL RD,BOSTON RD
1967,15138,MORGAN AVE,PELHAM PKWY N,E GUN HILL RD
1968,15139,ALDRICH ST,BAYCHESTER RD,ASCH LOOP
1969,15141,STEDMAN PL,PEARSALL AVE,ALLERTON AVE
1970,15142,DARK ST,DYRE AVE,ROMBOUTS AVE
1971,15143,REISS PL,BRONX PARK E,BARKER AVE
1972,15145,E 199TH ST,GRAND CONCOURSE,JEROME AVE
1973,15146,E 196TH ST,JEROME AVE,MARION AVE
1974,15147,VILLA AVE,BEDFORD PARK BLVD,VAN CORTLANDT PARK E
1975,15148,COLES LA,DEAD END,BAINBRIDGE AVE
1976,15149,DICKINSON AVE,SEDGWICK AVE,VAN CORTLANDT PARK S
1977,15150,GALE PL,ORLOFF AVE,VAN CORTLANDT PARK S
1978,15151,SUMMIT PL,HEATH AVE,KINGSBRIDGE TER
1979,15152,WEBB AVE,W FORDHAM RD,RESERVOIR AVE
1980,15153,DEVOE TER,WEBB AVE,W 190TH ST
1981,15154,GODWIN TER,W 230TH ST,W 231ST ST
2058,15155,W 246TH ST,FIELDSTONE RD,POST RD
1982,15156,W 235TH ST,HENRY HUDSON PKWY E,RIVERDALE AVE
1983,15157,W 260TH ST,TYNDALL AVE,BROADWAY
1984,15158,HUXLEY AVE,MOSHOLU AVE,DEAD END
2056,15159,W 252ND ST,SYCAMORE AVE,HENRY HUDSON PKWY E
1985,15160,W 247TH ST,PALISADE AVE,HENRY HUDSON PKWY W
1986,15161,ARLINGTON AVE,DEAD END,W 235TH ST
1987,15162,ISELIN AVE,W 250TH ST,W 252ND ST
1988,15163,OXFORD AVE,CAMBRIDGE AVE,JOHNSONS AVE
1989,15164,W 253RD ST,HENRY HUDSON PKWY E,POST RD
1990,15166,W 238TH ST,CANNON PL,SESDGWICK AVE
1991,16001,E 174TH ST,BOSTON RD,BRONX RIVER AVE
1992,16002,RANDALL AVE,E TREMONT AVE,END
1993,16003,LAFAYETTE AVE,E TREMONT AVE,THROGS NECK SR (NB)
1994,16004,BEDFORD PK BLV,WEBSTER AVE,DR KAZIMRFF BL
1995,16005,CITY ISLAND AVE,BELDEN POINT,CITY ISLAND RD
1996,16006,UNDERCLIFF AVE,SEDGWICK AVE,SEDGWICK AVE
926,16007,E 163RD ST,COURTLANDT AVE,WASHINGTON AVE
1997,16008,ARTHUR AVE,EAST TREMONT AVE,CROTONA PARK N
1200,16009,BEDFORD PARK BL,GOULDEN AVE,JEROME AVE
164,16011,JEROME AVE,E 167TH ST,E MOSHOLU PKWY S
1998,16012,E 144TH ST,MAJ DEEGN EXPY,E 143RD ST
1999,16013,E 149TH ST,GRAND CONCOURSE,MORRIS AVE
2000,16014,E 149TH ST,ST ANNS AVE,SOUTHERN BLVD
2001,16015,E 169TH ST,BOSTON RD,WEBSTER AVE
2002,16016,E 170TH ST,WEBSTER RD,BOSTON RD
1037,16017,CLAY AVE,CLAREMONT PKWY,E 176TH ST
2003,16018,E 188TH ST,GRAND CONCOURSE,THIRD AVE
2004,16020,LAYTON AVE,THRGS NCK EXPY,DEAN AVE
156,16021,LONGWOOD AVE,PROSPECT AVE,TIFFANY ST
2005,16022,MACOMBS RD,JEROME AVE,UNIVERSITY AVE
2006,16023,PRENTISS AVE,THRG NK EXP EX,WISSMAN AVE
2007,16024,W 205TH ST,GOULDEN AVE,JEROME AVE
2008,16025,ROSEDALE AVE,LAFAYETTE AVE,E TREMONT AVE
833,16026,WASHINGTON BRID,NY CO LINE,UNDERCLIFF AVE
947,16027,WHITE PLAINS RD,WESTCHESTER AVE,E TREMONT AVE
2009,16028,WHITE PLAINS RD,E TREMONT AVE,UNIONPORT RD
948,16037,CASTLE HILL AVE,HART ST,I278
1250,16049,I87 Exit 7 95I,I87 NB (OFF),MERGE I87 NB&SB OFF
226,16051,W TREMONT AVE,MATHEWSON RD,CEDAR AVE
507,16053,I87 Exit 3 E 13,GRND CNCS (OFF),MRG E 135TH ST&GRND CNCS OFF
2010,16054,W 230TH ST,BROADWAY,HEATH AVE
2011,16055,W231ST ST,IRWIN AVE,BAILEY AVE
2012,16056,W 233RD ST,BROADWAY NY 9,BAILEY AVE
2013,16057,W 234TH ST,NY 9 BROADWAY,BAILEY PL
2014,16058,W 238TH ST,END,ORLOFF AVE
1251,16059,I87 Exit 3 E 13,I87 NB (OFF),GRAND CONCOURS(ON)
2015,16060,I87 Exit 12 908,I87 NB (OFF),908F MOSHOLU PKWY NB(ON)
2016,16061,I87 Exit 13 E 2,E 233rd St,I87 SB (ON)
387,16062,I87 Exit 5 & 6,I87 SB(OFF),DVRG TO E 153RD ST&BRONX TER
2017,16063,I87 Exit 7 95I,I95 NB (OFF),DIVERGE TO I87 NB&SB
2018,16064,E 233RD ST,WEBSTER AVE,WHITE PLAINS RD
690,16065,I87 Exit 7 95I,WASHINGTON BR(OFF),I95 NB (ON)
2019,16067,I87 Exit 10 230,W 230TH ST,I87 SB (ON)
1143,16068,I87 Exit 5 & 6,E 153RD ST (OFF),MRG I87SB/153RD RAMPS
2020,16070,LAFAYETTE AVE,BRUSH AVE,CROSS BRONX EXT (EB)
2021,16071,E 172ND ST,WEST FARMS RD,BEACH AVE
2022,16072,E 174TH ST,BRONX RIVER AVE,CROSS BRX EXP
2023,16074,I87 Exit 10 230,I87 SB (OFF),W 230TH ST
2024,16075,WATSON AVE,PIERHEAD LINE,WHITE PLAINS R
2025,16077,I87 Exit 12 908,908F SB (OFF),I87 SB (ON)
2026,16078,BRUCKNR BLV SW,ZEREGA AVE,CASTLE HILL AVE
92,16080,I95 Exit 4A She,I95 NB (OFF),I895 SB (ON)
245,16081,I95 Exit 4A She,I895 NB (OFF),I95 SB (ON)
295,16082,I87 Exit 7 95I,WASHINGTON BR,EDWARD L GRNT HWY
2027,16083,E 174TH ST,JEROME AVE,ANTHONY AVE
568,16084,I95 Exit 6 295I,I95 NB (OFF),MERGE FROM I95&I278 EB OFF
688,16085,I95 Exit 6 295I,MERGE FROM I95&I278 EB OFF,I678 SB (ON)
815,16086,I95 Exit 6 295I,DIVERGE FROM I278 EB OFF,I295 SB (ON)
1017,16087,I95 Exit 6 295I,I295 NB (OFF),MRG WTH I678 NB OFF TO I278
2028,16088,E TREMONT AVE,WESTCHESTER AVE,ERICSON PL
2029,16089,I95 Exit 8B 907,BRUCKNER BLVD,I95 NB (ON)
2030,16090,I95 Exit 9 and,I95 NB (OFF),DIVERGE TO E GUN HILL RD
2031,16091,I95 Exit 12 Eds,I95 NB (OFF),GIVAN  AVE
2032,16092,I278 Exit 47 at,BRUCKNER BLVD,I278 EB (ON)
538,16093,W 232ND ST,INDEPENDENCE AVE,JOHNSON AVE
2033,16094,I278 Exit 47 at,I278 WB (OFF),BRUCKNER BLVD
907,16096,W 246TH ST,DOUGLAS AVE,POST RD
1038,16097,W 252ND ST,SYCAMORE AVE,HENRY HUDSON PKWY SR E
2034,16099,FIELDSTON RD,MANHTN COL PKWY,MOSHOLU AVE
2035,16100,907H Exit 10 at,MERGE FROM BRONX BLVD,907H NB (ON)
2036,16109,ST MARYS ST,ST ANNS AVE,SOUTHERN BLVD
2037,16110,WALES AVE,E 142ND ST,E 152ND ST
2038,16125,E 177TH ST,E TREMONT AVE,START RAMP TO BRONX RIVER PK
2039,16128,UNIONPORT RD,E TREMONT AVE,WHITE PLAINS RD
2040,16167,E 241ST ST,WESTCHESTER C/L,WHITE PLAINS RD
2041,16302,HUGH GRANT CIR,WSTCHSTR & VA,E BACK TO STRT
2042,16313,LOGAN AVE,OTIS AVE,BRUCKNER BLVD
2043,16322,WHITE PLAINS RD,TURNBULL AVE,BRUCKNER BLVD NB
2044,16330,NEREID AVE,BAYCHESTER AVE,MUNDY LA
2045,16331,IN 95 SR EB,BRONX RVR AVE,WHITE PLAINS RD
2046,16347,LAFAYETTE AVE,BRUCKNER BLVD,EDGEWATER RD
2047,16351,E 175TH ST,CARTER AVE,THIRD AVE
2048,16352,BRONX BLVD,BURKE AVE,NEREID AVE
373,16502,I87 Exit 4 Rive,I87 NB (OFF),E 149TH ST
2049,18001,SHORE RD,BRNX/PELHM PKY,SHORE RD CIR
2050,18002,VN CRTLNDT PK E,E 233RD ST,WESTCHESTER CO LINE
2051,18003,WEBSTER AVE,E 233RD ST,BRONX RIVER RD
877,18066,EDENWALD AVE,E 233RD ST,SETON AVE
133,18071,BROOK AVE,E 138TH ST,WESTCHESTER AV
703,20005,CATON AVE,E 5TH ST/CATON AVE,CONEY ISLAND AVE
1194,20009,LINDEN BLVD,ROCKAWAY PKWY,PENNSYLVANIA AVE
19,20010,LINDEN BLVD,PENNSYLVANIA AVE,78 TH ST QUEENS CO LINE
